I549	0.431342
I550	0.440578
I551	0.488103
I552	0.512916
I555	0.706535
I558	0.748928
I560	0.756455
I564	0.948121
I569	0.812334
I570	0.860392
I571	1.35817
I573	0.871098
I576	0.844825
I578	0.853179
I585	0.872808
I587	0.92422
I593	0.440578
I594	0.440578
I599	0.440578
I600	0.440578
I603	0.447092
I608	0.68742
I610	3.14812
I618	0.587062
I627	0.447136
I629	0.48723
I636	0.846662
I650	0.452836
I651	0.452836
I668	0.452836
I672	0.452836
I673	0.526967
I674	0.544683
I675	0.552052
I678	0.552052
I680	0.552052
I681	0.55906
I682	0.552052
I688	0.561105
I711	0.579224
I715	0.553909
I716	0.564986
I717	0.564986
I725	0.581855
I734	0.588586
I735	0.638544
I738	0.553909
I739	0.564054
I746	0.570683
I748	0.576004
I754	0.260024
I755	0.264219
I760	0.81036
I763	0.837984
I767	1.31482
I771	1.35306
I784	0.81036
I787	0.81036
I788	0.81036
I792	0.287851
I793	0.318638
I797	0.339676
I799	0.34366
I808	0.348798
I810	0.359039
I811	0.394347
I827	0.396873
I834	0.405836
I844	0.359039
I847	0.359039
I849	0.359039
I853	0.359355
I861	0.887276
I863	0.896068
I864	0.959628
I865	0.994941
I867	1.10158
I868	1.11364
I874	1.42668
I880	1.51533
I890	2.03519
I900	1.09707
I908	1.32306
I909	1.46076
I925	0.371066
I928	0.287851
I930	0.289218
I931	0.289218
I932	0.289218
I937	0.306713
I952	0.287851
I957	0.287851
I959	0.287851
I975	0.492001
I984	0.579414
I989	0.591807
I990	0.637045
I997	0.60055
