I549	0.288097
I550	0.288621
I551	0.300065
I558	0.35434
I560	0.375965
I576	0.371881
I577	0.384686
I578	0.386007
I579	0.937637
I580	7.91262
I585	0.37612
I593	0.336413
I594	0.350192
I595	0.367898
I599	0.372004
I600	0.384948
I613	0.444049
I627	0.347384
I628	0.380988
I629	0.382885
I643	0.382764
I644	0.383953
I648	0.386799
I650	0.327578
I657	0.384793
I658	0.384875
I673	0.345848
I674	0.360312
I675	0.376818
I678	0.380368
I679	0.381044
I684	0.38543
I696	0.386438
I706	0.381532
I708	0.385556
I715	0.36772
I716	0.371418
I725	0.375722
I726	0.376744
I739	0.379641
I741	0.384948
I749	0.384775
I754	0.160658
I755	0.176754
I756	0.361088
I758	0.384102
I760	0.37002
I761	0.378717
I766	0.386962
I776	0.550508
I792	0.332633
I793	0.354547
I794	0.364721
I795	0.380444
I804	0.386552
I808	0.368731
I810	0.372586
I811	0.381581
I812	0.382419
I815	0.38361
I820	0.384888
I825	0.386022
I827	0.381729
I840	0.377313
I844	0.38368
I845	0.838812
I850	0.386913
I863	0.905426
I864	0.989048
I865	1.03148
I867	1.20021
I868	1.23871
I875	2.09342
I884	1.72647
I885	1.84847
I889	1.044
I891	8.12227
I892	1.33082
I896	6.94188
I901	1.19875
I902	1.44061
I907	2.26206
I909	3.03391
I914	6.26324
I928	0.35769
I930	0.371923
I933	0.407838
I956	0.367918
I957	0.372453
I959	0.381876
I960	0.382804
I969	0.371677
I971	0.37665
I975	0.309488
I978	0.387216
I984	0.361559
I987	0.928821
I990	0.386501
